time,XL_430_base_Revolute-29,XL_430_shoulder_Revolute-30,XL_430_upper_Revolute-31,XL_430_lower_Revolute-32
0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0
1.7000000000000002,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0
1.9000000000000001,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0
2.3000000000000003,0.0,0.0,0.0,0.0
2.4000000000000004,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0
2.8000000000000003,0.0,0.0,0.0,0.0
2.9000000000000004,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0
3.3000000000000003,0.0,0.0,0.0,0.0
3.4000000000000004,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0
3.8000000000000003,0.0,0.0,0.0,0.0
3.9000000000000004,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.1000000000000005,0.0,0.0,0.0,0.0
4.2,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
4.6000000000000005,0.0,0.0,0.0,0.0
4.7,0.0,0.0,0.0,0.0
4.800000000000001,0.0,0.0,0.0,0.0
4.9,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.1000000000000005,0.0,0.0,0.0,0.0
5.2,0.0,0.0,0.0,0.0
5.300000000000001,0.0,0.0,0.0,0.0
5.4,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0
5.6000000000000005,0.0,0.0,0.0,0.0
5.7,0.0,0.0,0.0,0.0
5.800000000000001,0.0,0.0,0.0,0.0
5.9,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
6.1000000000000005,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0
6.300000000000001,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0
6.6000000000000005,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0
6.800000000000001,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.1000000000000005,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0
7.300000000000001,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
7.6000000000000005,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0
7.800000000000001,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0
8.200000000000001,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0
8.700000000000001,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.1,0.0,0.0,0.0,0.0
9.200000000000001,0.0,0.0,0.0,0.0
9.3,0.0,0.0,0.0,0.0
9.4,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
9.600000000000001,0.0,0.0,0.0,0.0
9.700000000000001,0.0,0.0,0.0,0.0
9.8,0.0,0.0,0.0,0.0
9.9,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
10.1,0.0049999999999999,0.002153790561845,1.1973855272769553e-07,-0.0021536483349989
10.2,0.0199999999999999,0.0086151622473803,4.789542109107814e-07,-0.0086145933399956
10.3,0.0449999999999998,0.0193841150566057,1.0776469745492583e-06,-0.0193828350149902
10.4,0.0799999999999999,0.0344606489895213,1.9158168436431302e-06,-0.0344583733599827
10.5,0.1250000000000001,0.0538447640461272,2.9934638181923955e-06,-0.0538412083749731
10.6,0.1799999922263883,0.0775364568778767,4.310587712036843e-06,-0.077531336711636
10.7,0.2449999842905933,0.1055357307634548,5.8671887074527655e-06,-0.1055287616484397
