time,XL_430_base_Revolute-29,XL_430_shoulder_Revolute-30,XL_430_upper_Revolute-31,XL_430_lower_Revolute-32
0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0
1.7000000000000002,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0
1.9000000000000001,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0
2.3000000000000003,0.0,0.0,0.0,0.0
2.4000000000000004,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0
2.8000000000000003,0.0,0.0,0.0,0.0
2.9000000000000004,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0
3.3000000000000003,0.0,0.0,0.0,0.0
3.4000000000000004,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0
3.8000000000000003,0.0,0.0,0.0,0.0
3.9000000000000004,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.1000000000000005,0.0,0.0,0.0,0.0
4.2,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
4.6000000000000005,0.0,0.0,0.0,0.0
4.7,0.0,0.0,0.0,0.0
4.800000000000001,0.0,0.0,0.0,0.0
4.9,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.1000000000000005,0.0,0.0,0.0,0.0
5.2,0.0,0.0,0.0,0.0
5.300000000000001,0.0,0.0,0.0,0.0
5.4,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0
5.6000000000000005,0.0,0.0,0.0,0.0
5.7,0.0,0.0,0.0,0.0
5.800000000000001,0.0,0.0,0.0,0.0
5.9,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
6.1000000000000005,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0
6.300000000000001,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0
6.6000000000000005,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0
6.800000000000001,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.1000000000000005,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0
7.300000000000001,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
7.6000000000000005,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0
7.800000000000001,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0
8.200000000000001,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0
8.700000000000001,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.1,0.0,0.0,0.0,0.0
9.200000000000001,0.0,0.0,0.0,0.0
9.3,0.0,0.0,0.0,0.0
9.4,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
9.600000000000001,0.0,0.0,0.0,0.0
9.700000000000001,0.0,0.0,0.0,0.0
9.8,0.0,0.0,0.0,0.0
9.9,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
10.1,0.0049999999999999,0.0031111417552891,5.387696688303188e-07,-0.0031105362833471
10.2,0.0199999999999999,0.0124445670211564,2.155078675321271e-06,-0.0124421451333885
10.3,0.0449999999999999,0.028000275797602,4.848927019472864e-06,-0.0279948265501243
10.4,0.08,0.0497782680846258,8.620314701285107e-06,-0.0497685805335545
10.5,0.1249999933655566,0.0777785397540891,1.3469241005870604e-05,-0.0777634029563435
10.6,0.1799999817142211,0.1120010918124781,1.9395706107526876e-05,-0.1119792948247818
10.7,0.2449999554920173,0.152445918315038,2.639970897677542e-05,-0.1524162501952716
